,Compound,DateTime,Neg,Neu,Pos,Source,Text,Tweets Ago
370,0.1027,2017-12-02 15:26:15,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",371
371,-0.2732,2017-12-02 15:26:13,0.9,0.1,0.0,CBSNews,"RT @kylegriffin1: The White House's proposed budget cut to HIV/AIDS efforts could result in millions of new AIDS-related infections, accord…",372
372,-0.296,2017-12-02 15:26:13,0.879,0.121,0.0,CBSNews,Sexual Collapses of The American Empire. @TIME @BBCNews @CBSNews @Newsweek @cnni @TheEconomist @UNFCCC @AJEnglish @ABCWorldNews @NatGeo @ap,373
373,0.0,2017-12-02 15:26:12,1.0,0.0,0.0,CBSNews,@balticblau @nytimes @BostonGlobe @washingtonpost @DouglasInLA @BradfordColt @JockSportsGuy @latimes… https://t.co/PRUBvJ3GRD,374
374,0.1027,2017-12-02 15:26:11,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",375
375,0.1027,2017-12-02 15:26:10,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",376
376,-0.2732,2017-12-02 15:26:08,0.9,0.1,0.0,CBSNews,"RT @kylegriffin1: The White House's proposed budget cut to HIV/AIDS efforts could result in millions of new AIDS-related infections, accord…",377
377,-0.9114,2017-12-02 15:26:05,0.646,0.354,0.0,CBSNews,@CBSNews This is not a win! It is not a win for me. It is not as win for my parents or in-laws. It is not a win for… https://t.co/sUBvSxfQbf,378
378,-0.6908,2017-12-02 15:26:05,0.773,0.227,0.0,BBCWorld,"@BBCWorld @BBCNews Typical radical extremist Muslim Brother member, that's why there were listed as being a terrorist group",379
379,0.1027,2017-12-02 15:26:03,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",380
380,0.1027,2017-12-02 15:26:03,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",381
